Team,TV Market Size (millions),Metro Population (millions),Team Revenue (millions)
BKN,7.453,19.216,381
NYK,7.453,19.216,543
LAC,5.735,13.215,353
LAL,5.735,13.215,522
CHI,3.472,9.459,414
PHI,2.997,6.102,396
DAL,2.963,7.573,437
TOR,0,5.928,341
GSW,2.653,4.732,800
ATL,2.649,6.02,353
HOU,2.57,7.066,416
WAS,2.566,6.28,362
BOS,2.49,4.873,457
PHO,2.158,4.948,369
MIN,1.887,3.655,305
DET,1.863,4.32,305
DEN,1.798,2.932,356
ORL,1.731,2.608,285
MIA,1.693,6.166,373
CLE,1.512,2.048,391
SAC,1.459,2.364,320
POR,1.315,2.492,335
CHA,1.291,2.637,308
IND,1.183,2.075,320
UTA,1.1,1.233,318
SAS,1.031,2.551,363
MIL,0.922,1.575,333
OKC,0.755,1.409,320
NOP,0.664,1.271,272
MEM,0.62,1.346,291
